Ecoli_Gene,Salm_Gene,Lethality_Type
b0112,STM4176,Salm Death
b0112,STM2071,Salm Death
b0112,STM2073,Salm Death
b0112,STM2077,Salm Death
b0112,STM2075,Salm Death
b0112,STM2074,Salm Death
b0112,STM2072,Salm Death
b0112,STM2078,Salm Death
b0112,STM2076,Salm Death
b2476,STM1232,Community Collapse
b2476,STM4176,Community Collapse
b2476,STM0533,Community Collapse
b2476,STM0534,Community Collapse
b2476,STM2362,Community Collapse
b2476,STM2487,Community Collapse
b2476,STM2565,Community Collapse
b2476,STM4175,Community Collapse
b2476,STM2499_S,Community Collapse
b3959,STM4122,Community Collapse
b3959,STM2992,Community Collapse
b3959,STM4120,Community Collapse
b3959,STM4121,Community Collapse
b3959,STM3066,Ecoli Death
b2021,STM4176,Community Collapse
b2021,STM2071,Community Collapse
b2021,STM2073,Community Collapse
b2021,STM2077,Community Collapse
b2021,STM2075,Community Collapse
b2021,STM2074,Community Collapse
b2021,STM2072,Community Collapse
b2021,STM0150,Ecoli Death
b2021,STM2078,Community Collapse
b2021,STM2076,Community Collapse
b2818,STM4122,Community Collapse
b2818,STM2992,Community Collapse
b2818,STM4120,Community Collapse
b2818,STM4121,Community Collapse
b2818,STM3066,Ecoli Death
b0166,STM3468,Community Collapse
b0166,STM3539,Community Collapse
b0166,STM3947,Community Collapse
b0166,STM0064,Community Collapse
b0166,STM2489,Community Collapse
b0166,STM4131,Community Collapse
b0166,STM0213,Community Collapse
b0166,STM2483,Community Collapse
b0166,STM0123,Community Collapse
b0166,STM0126,Community Collapse
b0166,STM0129,Community Collapse
b2025,STM4176,Community Collapse
b2025,STM2071,Community Collapse
b2025,STM2073,Community Collapse
b2025,STM2077,Community Collapse
b2025,STM2075,Community Collapse
b2025,STM2074,Community Collapse
b2025,STM2072,Community Collapse
b2025,STM0150,Ecoli Death
b2025,STM2078,Community Collapse
b2025,STM2076,Community Collapse
b2023,STM4176,Community Collapse
b2023,STM2071,Community Collapse
b2023,STM2073,Community Collapse
b2023,STM2077,Community Collapse
b2023,STM2075,Community Collapse
b2023,STM2074,Community Collapse
b2023,STM2072,Community Collapse
b2023,STM0150,Ecoli Death
b2023,STM2078,Community Collapse
b2023,STM2076,Community Collapse
b2499,STM1232,Community Collapse
b2499,STM4176,Community Collapse
b2499,STM0533,Community Collapse
b2499,STM0534,Community Collapse
b2499,STM2362,Community Collapse
b2499,STM2487,Community Collapse
b2499,STM2565,Community Collapse
b2499,STM4175,Community Collapse
b2499,STM2499_S,Community Collapse
b2923,STM4122,Salm Death
b2923,STM2992,Salm Death
b2923,STM4120,Salm Death
b2923,STM4121,Salm Death
b1599,STM0165,Salm Death
b1599,STM4248,Salm Death
b1599,STM0166,Salm Death
b1600,STM0165,Salm Death
b1600,STM4248,Salm Death
b1600,STM0166,Salm Death
b4141,STM3904,Salm Death
b4141,STM3903,Salm Death
b4141,STM3909,Salm Death
